Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
OMED.JK;08/11/22;4.811;8.28005E+11;7.807;1.76107E+12;84731000000;1.08532E+12;Healthcare Equipment & Providers
BELI.JK;08/11/22;-11.35;7.99704E+12;-23.475;1.68867E+13;-1.91672E+12;8.16492E+12;Software & IT Service
BSBK.JK;08/11/22;0.26;2.75E+11;0.52;2.26498E+12;5992000000;1.15231E+12;Properties & Real Estate
MKTR.JK;08/11/22;3.91;3E+11;12.42;6.72184E+11;26304647000;2.11793E+11;Food & Beverage
CBUT.JK;08/11/22;2.432;4.3125E+11;37.74;2.45181E+12;59633000000;1.5801E+11;Food & Beverage
PDPP.JK;09/11/22;4.017;1E+11;5.04;3.00832E+11;12085020117;2.39782E+11;Basic Materials
KDTN.JK;09/11/22;2.26;37500000000;3.4;45367912371;1024168625;30122606618;Consumer Services
KETR.JK;10/11/22;1.985;1.2786E+11;4.03;1.41828E+12;28154823508;6.98631E+11;Telecommunication
ZATA.JK;10/11/22;1.362;1.7E+11;2.18;5.591E+11;7613000000;3.4922E+11;Retailing
NINE.JK;05/12/22;5.76;32400000000;8.1;23161016471;1333301977;16460518235;Technology Hardware
MMIX.JK;06/12/22;23.912;1.14E+11;39.396;82607739211;19752857765;50139247043;Healthcare Equipment & Providers
PADA.JK;08/12/22;0.594;90000000000;2.41;1.99494E+11;1184619256;49154325975;Industrial Services
ISAP.JK;09/12/22;0.011;1.44E+11;0.049;28793000000;3043696;6211624490;Automobiles & Components
VTNY.JK;15/12/22;1.07;3.3832E+11;4.69;3.54526E+11;3778232736;80559333390;Financing Service
BEER.JK;06/01/23;18.05;1.76E+11;24;61270561863;11058064724;46075269683;Food & Beverage
CBPE.JK;06/01/23;2.075;40687500000;3.146;1.99871E+11;4147728798;1.31841E+11;Properties & Real Estate
ELIT.JK;06/01/23;9.736;60000000000;25.09;50244698600;4891941918;19497576397;Software & IT Service
SOUL.JK;06/01/23;1.296;29700000000;1.45;18746882985;242945846;16754885931;Food & Beverage
CBRE.JK;09/01/23;2.64;79704000000;3.04;99682594325;2629841298;86507937434;Oil, Gas, & Coal
SUNI.JK;09/01/23;7.29;1.8E+11;9.93;4.65893E+11;33945395921;3.41847E+11;Oil, Gas, & Coal
WINE.JK;10/01/23;1.54;87462000000;3.66;3.07074E+11;4722626260;1.29034E+11;Food & Beverage
BMBL.JK;11/01/23;12.24;56000000000;13.52;33861830523;4144689739;30655989194;Consumer Services
PEVE.JK;24/01/23;1.495;52615625000;7.195;6.49336E+11;9710178000;1.34957E+11;Phramaceuticals & Healthcare
LAJU.JK;27/01/23;6.68;70000000000;13.89;1.0526E+11;7032627542;50630867833;Logistics & Deliveries
FWCT.JK;01/02/23;19.008;44250000000;34.63;3.47502E+11;66053146000;1.9074E+11;Basic Materials
NAYZ.JK;06/02/23;0.243;51000000000;0.34;31659190410;77010731;22650215000;Food & Beverage
IRSX.JK;07/02/23;8.598;1.01E+11;10.21;6270226008;539126307;5280375191;Software & IT Service
CHIP.JK;08/02/23;14.448;32000000000;77.84;35004579000;5057288000;6497029805;Technology Hardware
HALO.JK;08/02/23;-2.65;1.13E+11;-32.54;3.09954E+11;-8219903475;25260920329;Healthcare Equipment & Providers
PACK.JK;08/02/23;1.71;49896000000;16.75;41344745444;705950071;4214627290;Basic Materials
VAST.JK;08/02/23;5.18;70200000000;7.29;2.76667E+11;14331577123;1.96592E+11;Properties & Real Estate
KING.JK;16/02/23;2.375;67600000000;25.83;55624036988;1321264664;5115232923;Industrial Services
PGEO.JK;24/02/23;4.558;9.05625E+12;8.5;3.66681E+13;1.67144E+12;1.96639E+13;Utilities
FUTR.JK;27/02/23;12.09;1.278E+11;14.3;71736198070;8670852326;60635330951;Media & Entertainment
HILL.JK;01/03/23;8.415;5.52875E+11;30.282;3.09479E+12;2.60429E+11;8.60013E+11;Oil, Gas, & Coal
