Kode,Date,RoA,Market Cap,RoE,Total Aset,Laba Bersih,Total Ekuitas,Sub Sektor
CBRE.JK,2023-09-01,2.64,79704000000,3.04,99682594325.0,2629841298.0,86507937434,"Oil, Gas, & Coal"
SUNI.JK,2023-09-01,7.29,180000000000,9.93,465893000000.0,33945395921.0,341846887422,"Oil, Gas, & Coal"
WINE.JK,2023-10-01,1.54,87462000000,3.66,307074000000.0,4722626260.0,129033504372,Food & Beverage
BMBL.JK,2023-11-01,12.24,56000000000,13.52,33861830523.0,4144689739.0,30655989194,Consumer Services
PEVE.JK,2023-01-24,1.495,52615625000,7.195,649336000000.0,9710178000.0,134957303683,Phramaceuticals & Healthcare
LAJU.JK,2023-01-27,6.68,70000000000,13.89,105260000000.0,7032627542.0,50630867833,Logistics & Deliveries
FWCT.JK,2023-01-02,19.008,44250000000,34.63,347502000000.0,66053146000.0,190739665030,Basic Materials
NAYZ.JK,2023-06-02,0.243,51000000000,0.34,31659190410.0,77010731.0,22650215000,Food & Beverage
IRSX.JK,2023-07-02,8.598,101000000000,10.21,6270226008.0,539126307.0,5280375191,Software & IT Service
CHIP.JK,2023-08-02,14.448,32000000000,77.84,35004579000.0,5057288000.0,6497029805,Technology Hardware
HALO.JK,2023-08-02,-2.65,113000000000,-32.54,309954000000.0,-8219903475.0,25260920329,Healthcare Equipment & Providers
PACK.JK,2023-08-02,1.71,49896000000,16.75,41344745444.0,705950071.0,4214627290,Basic Materials
VAST.JK,2023-08-02,5.18,70200000000,7.29,276667000000.0,14331577123.0,196592278779,Property & Real Estate
KING.JK,2023-02-16,2.375,67600000000,25.83,55624036988.0,1321264664.0,5115232923,Industrial Services
PGEO.JK,2023-02-24,4.558,9056250000000,8.5,36668100000000.0,1671435000000.0,19663941176471,Utilites
FUTR.JK,2023-02-27,12.09,127800000000,14.3,71736198070.0,8670852326.0,60635330951,Media & Entertainment
HILL.JK,2023-01-03,8.415,552875000000,30.282,3094790000000.0,260429000000.0,860012548709,"Oil, Gas, & Coal"
BDKR.JK,2023-03-03,6.025,141220000000,11.48,1084330000000.0,65329896059.0,569075749643,Heavy Constructions & Civil
PTMP.JK,2023-06-03,13.12,96000000000,21.68,126238000000.0,16562689559.0,76396169553,Industrial Goods
CUAN.JK,2023-08-03,20.695,371800000000,29.0,1410460000000.0,291891610431.0,1006522794590,"Oil, Gas, & Coal"
SAGE.JK,2023-08-03,1.75,161000000000,3.89,268877000000.0,4696657212.0,120736689254,Property & Real Estate
TRON.JK,2023-08-03,12.794,135000000000,22.45,52193983685.0,6677843911.0,29745407176,Software & IT Service
NSSS.JK,2023-10-03,2.2,453166480000,10.3,2932650000000.0,64599000000.0,627174757282,Food & Beverage
